player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
FH Allen,349,168,10,28,33,0,0,0
B Muzarabani,0,0,0,0,0,4,79,44
AM Ghazanfar,2,3,0,0,0,14,357,219
Kartik Sharma,295,220,9,16,24,0,0,0
Brijesh Sharma,1,3,0,0,0,9,286,199
Ashok Sharma,1,5,0,0,0,6,233,136
C Connolly,454,294,10,29,40,0,0,0
MD Choudhary,170,122,6,12,11,0,0,0
P Nissanka,278,180,10,12,33,0,0,0
Shivang Kumar,26,23,5,1,3,8,326,216
PR Veer,90,72,2,3,10,0,25,12
Gurjapneet Singh,0,0,0,0,0,4,233,159
Auqib Nabi,14,4,1,1,2,0,151,84
GF Linde,31,21,3,0,6,1,55,37
Sakib Hussain,0,0,0,0,0,14,283,224
PP Hinge,3,9,1,0,0,10,203,117
LG Pretorius,7,8,2,0,0,0,0,0
Mayank Rawat,0,0,0,0,0,0,0,0
Yash Raj Punja,0,0,0,0,0,7,174,122
DV Malewar,2,5,2,0,0,0,0,0
Krish Bhagat,10,21,1,0,0,0,63,36
D Madushanka,0,0,0,0,0,1,36,28
Raghu Sharma,0,0,0,0,0,1,130,90
RS Ghosh,0,0,0,0,0,1,24,18
R Smaran,18,21,2,0,3,0,0,0
N Sindhu,63,51,5,2,7,0,0,0
Akshat Raghuwanshi,29,27,2,1,1,0,0,0
BJ Dwarshuis,0,0,0,0,0,1,51,26
SU Parakh,46,31,3,2,5,0,0,0
SR Dubey,4,2,0,0,1,5,110,87
Ravi Singh,4,2,1,0,1,0,0,0
T Vijay,0,0,0,0,0,0,29,12
SS Mishra,0,0,0,0,0,0,47,30
T Dahiya,12,15,2,0,2,0,0,0
SC Ganguly,1064,1049,43,33,112,9,300,232
RT Ponting,85,119,8,2,5,0,0,0
DJ Hussey,1159,979,43,50,82,8,409,274
Mohammad Hafeez,60,76,6,2,6,2,71,63
LR Shukla,370,329,22,14,31,11,420,300
AB Agarkar,154,143,8,3,11,27,971,694
M Kartik,94,87,6,1,6,26,1209,997
R Dravid,1748,1528,61,23,216,0,0,0
W Jaffer,123,119,7,3,13,0,0,0
JH Kallis,1998,1887,75,36,216,59,1944,1508
CL White,805,653,31,30,62,0,53,28
MV Boucher,314,264,12,10,24,0,0,0
B Akhil,68,47,5,5,4,4,187,144
AA Noffke,9,12,1,0,1,1,41,25
SB Joshi,6,16,2,0,0,1,72,43
ML Hayden,1053,788,28,42,115,0,0,0
MEK Hussey,1746,1478,47,50,167,0,0,0
JDP Oram,106,110,8,5,6,9,362,244
